symbol,close,rs,rs_ma,rs_slope,price_sma20,price_wma200,score,total_active,tier,conditions,run_date,data_flag,is_clean,rs_rank,grade,sector
TAKE,42.22,2.8497,1.288,1.2096,35.42,20.23,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.9,A,Other
LUMAXTECH,1757.4,2.0293,1.4222,0.6136,1449.73,758.89,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.8,A,IT
MTARTECH,3806.8,1.5362,0.578,1.1459,2714.37,1944.62,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.6,A,IT
TDPOWERSYS,903.3,1.5159,0.7229,0.9411,737.1,437.81,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.6,A,Power
GVT&D,3850.2,1.473,0.6317,1.045,3089.37,1759.24,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.5,A,Other
HINDCOPPER,566.3,1.4179,0.6662,0.356,450.27,281.25,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.4,A,Metals
PFOCUS,254.83,1.2977,0.6058,0.4672,211.95,136.97,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.2,A,Other
INFOBEAN,206.25,1.2621,0.7103,0.3659,182.86,123.16,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,99.1,A,IT
SALSTEEL,46.99,1.2129,0.6587,0.4375,40.88,24.24,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.9,A,Metals
BAJAJCON,395.1,1.1795,0.4042,0.6342,296.28,227.16,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.9,A,Other
MCX,2443.3,1.1079,0.6364,0.259,2129.35,1197.25,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.8,A,Exchange
SBC,32.24,1.0914,0.5689,0.3507,27.73,17.74,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.7,A,Other
JAYNECOIND,76.8,1.0886,0.7888,0.3665,76.25,48.88,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.6,A,Other
KIRLOSENG,1393.2,1.0877,0.1738,0.9354,1153.53,891.24,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.6,A,Capital Goods
SHARDACROP,1191.4,1.0854,0.2876,0.8496,916.65,653.8,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.5,A,Agri
PRECWIRE,312.25,0.9743,0.3355,0.6893,240.91,163.34,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.2,A,Other
POWERINDIA,25562.0,0.9442,0.4441,0.604,19745.25,12989.98,7,7,Tier 1,"{'C1_RS_Positive': True, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': True, 'C5_Above_WMA200': True, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,98.1,A,Power
